position,strain
1,CEN_PK_Mat_A
2,CEN_PK_Mat_A
3,CEN_PK_Mat_A
4,CEN_PK_Mat_A
5,CEN_PK_Mat_A
6,contamination_test
7,FY4
8,FY4
9,FY4
10,FY4
11,FY4
12,contamination_test
13,rim11_Del
14,rim11_Del
15,rim11_Del
16,rim11_Del
17,rim11_Del
18,contamination_test
19,swe1_Del
20,swe1_Del
21,swe1_Del
22,swe1_Del
23,swe1_Del
24,contamination_test
25,tsa1_Del_tsa2_Del
26,tsa1_Del_tsa2_Del
27,tsa1_Del_tsa2_Del
28,tsa1_Del_tsa2_Del
29,tsa1_Del_tsa2_Del
30,contamination_test
