id,birthtime_1,birthtime_2,birthtime_3,birthtime_4,birthtime_5,birthtime_6,birthtime_7,birthtime_8,birthtime_9,birthtime_10,birthtime_11,birthtime_12,birthtime_13,birthtime_14,birthtime_15,birthtime_16,birthtime_17,birthtime_18,birthtime_19,birthtime_20,birthtime_21,birthtime_22,birthtime_23
1,240.016666666667,635.016666666667,,,,,,,,,,,,,,,,,,,,,
2,225.016666666667,315,390.033333333333,510.016666666667,665.016666666667,840.016666666667,,,,,,,,,,,,,,,,,
3,215.016666666667,300,405.016666666667,505.016666666667,620.016666666667,790.016666666667,,,,,,,,,,,,,,,,,
4,30.0166666666667,150.016666666667,235.016666666667,345.016666666667,465.016666666667,565.016666666667,665.016666666667,790.016666666667,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,
6,250,315,545.016666666667,575.016666666667,785.016666666667,920.033333333333,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,
8,300,580.016666666667,925.033333333333,945.033333333333,,,,,,,,,,,,,,,,,,,
9,215.016666666667,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,
14,60.0166666666667,170.016666666667,185.016666666667,285,405.016666666667,525.016666666667,710.016666666667,860.016666666667,920.033333333333,1040.03333333333,,,,,,,,,,,,,
15,100.016666666667,155.016666666667,220.016666666667,420.033333333333,580.016666666667,790.016666666667,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,
18,75.0166666666667,145.016666666667,225.016666666667,290,305.016666666667,425.033333333333,525.016666666667,665.016666666667,795,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,
23,55.0166666666667,195.016666666667,450.016666666667,535.016666666667,620.016666666667,705.016666666667,810.016666666667,,,,,,,,,,,,,,,,
24,125.016666666667,670.016666666667,700.016666666667,860.016666666667,1000.03333333333,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,
28,135.016666666667,145.016666666667,275.016666666667,350.033333333333,380.033333333333,415.033333333333,590.016666666667,810.016666666667,940.033333333333,1075.03333333333,,,,,,,,,,,,,
29,110.016666666667,215.016666666667,320,400.033333333333,415.033333333333,485.016666666667,500.016666666667,565.016666666667,590.016666666667,640.016666666667,725.016666666667,795,810.016666666667,885.016666666667,910.033333333333,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,
32,30.0166666666667,115.016666666667,230.016666666667,340.033333333333,385.033333333333,560.016666666667,565.016666666667,655.016666666667,,,,,,,,,,,,,,,
33,75.0166666666667,200.016666666667,295.016666666667,,,,,,,,,,,,,,,,,,,,
34,240.016666666667,,,,,,,,,,,,,,,,,,,,,,
35,360.033333333333,685.016666666667,880.016666666667,,,,,,,,,,,,,,,,,,,,
36,65.0166666666667,185.016666666667,300,395.033333333333,485.016666666667,545.016666666667,570.016666666667,670.016666666667,675.016666666667,770.016666666667,875.016666666667,,,,,,,,,,,,
37,115.016666666667,145.016666666667,235.016666666667,275.016666666667,410.033333333333,645.016666666667,810.016666666667,830.016666666667,925.033333333333,,,,,,,,,,,,,,
38,0,45.0166666666667,145.016666666667,250,290,350.033333333333,460.016666666667,580.016666666667,765.016666666667,985.033333333333,1030.03333333333,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,
41,115.016666666667,250,405.016666666667,495.016666666667,555.016666666667,600.016666666667,850.016666666667,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,
43,45.0166666666667,125.016666666667,210.016666666667,305.016666666667,400.033333333333,480.016666666667,580.016666666667,725.016666666667,,,,,,,,,,,,,,,
44,235.016666666667,330.016666666667,450.016666666667,540.016666666667,,,,,,,,,,,,,,,,,,,
45,160.016666666667,195.016666666667,270.016666666667,350.033333333333,475.016666666667,550.016666666667,580.016666666667,980.033333333333,,,,,,,,,,,,,,,
46,530.016666666667,740.016666666667,935.033333333333,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,
49,1075.03333333333,,,,,,,,,,,,,,,,,,,,,,
50,60.0166666666667,200.016666666667,385.033333333333,600.016666666667,770.016666666667,820.016666666667,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,
52,30.0166666666667,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,
55,160.016666666667,225.016666666667,280.016666666667,480.016666666667,700.016666666667,890.033333333333,925.033333333333,945.033333333333,,,,,,,,,,,,,,,
56,45.0166666666667,150.016666666667,305.016666666667,555.016666666667,910.033333333333,,,,,,,,,,,,,,,,,,
57,5.03333333333333,40.0166666666667,210.016666666667,215.016666666667,315,405.016666666667,420.033333333333,495.016666666667,510.016666666667,575.016666666667,590.016666666667,690.016666666667,805.016666666667,,,,,,,,,,
