position,strain
1,by4741
2,by4741
3,by4741
4,by4741
5,by4741
6,contamination_test
7,zwf1_Del
8,zwf1_Del
9,zwf1_Del
10,zwf1_Del
11,zwf1_Del
12,contamination_test
13,zwf1_Del
14,zwf1_Del
15,zwf1_Del
16,zwf1_Del
17,zwf1_Del
18,contamination_test
