id,birthtime_1,birthtime_2,birthtime_3,birthtime_4,birthtime_5,birthtime_6,birthtime_7,birthtime_8,birthtime_9,birthtime_10,birthtime_11,birthtime_12,birthtime_13,birthtime_14,birthtime_15,birthtime_16,birthtime_17,birthtime_18,birthtime_19,birthtime_20,birthtime_21,birthtime_22,birthtime_23
1,,,,,,,,,,,,,,,,,,,,,,,
2,252.066666666667,,,,,,,,,,,,,,,,,,,,,,
3,37.0833333333333,122.066666666667,207.05,282.05,477.05,657.05,,,,,,,,,,,,,,,,,
4,72.0333333333333,167.066666666667,252.066666666667,327.05,502.066666666667,772.05,927.1,,,,,,,,,,,,,,,,
5,222.05,362.05,442.05,462.083333333333,532.033333333333,602.033333333333,687.066666666667,772.05,852.016666666667,932.066666666667,,,,,,,,,,,,,
6,202.066666666667,307.05,417.083333333333,482.033333333333,572.05,667.033333333333,772.05,857.1,937.1,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,
10,272.066666666667,362.05,392.066666666667,442.05,457.033333333333,527.016666666667,617.033333333333,692.083333333333,727.066666666667,762.033333333333,777.066666666667,942.1,,,,,,,,,,,
11,102.1,432.083333333333,,,,,,,,,,,,,,,,,,,,,
12,102.1,177.05,252.066666666667,327.05,402.083333333333,472.05,537.05,612.05,672.033333333333,727.066666666667,762.033333333333,827.066666666667,837.033333333333,912.05,,,,,,,,,
13,37.0833333333333,147.033333333333,232.066666666667,322.033333333333,382.05,452.05,527.016666666667,602.033333333333,682.05,697.083333333333,772.05,872.033333333333,,,,,,,,,,,
14,162.05,252.066666666667,332.033333333333,337.05,397.05,472.05,477.05,552.033333333333,652.016666666667,717.05,782.05,867.033333333333,,,,,,,,,,,
15,992.05,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,
17,162.05,327.05,557.05,652.016666666667,667.033333333333,,,,,,,,,,,,,,,,,,
18,52.05,162.05,237.066666666667,312.016666666667,412.05,472.05,557.05,652.016666666667,732.066666666667,762.033333333333,807.033333333333,897.05,,,,,,,,,,,
19,147.033333333333,227.083333333333,302.066666666667,372.066666666667,462.083333333333,532.033333333333,597.033333333333,672.033333333333,742.05,802.05,882.066666666667,902.066666666667,1067.08333333333,,,,,,,,,,
20,112.1,197.05,292.033333333333,387.05,457.033333333333,522.05,607.066666666667,692.083333333333,772.05,847.083333333333,922.066666666667,,,,,,,,,,,,
21,2.1,112.1,287.033333333333,,,,,,,,,,,,,,,,,,,,
22,52.05,167.066666666667,242.05,357.066666666667,427.066666666667,502.066666666667,657.05,722.033333333333,772.05,872.033333333333,947.066666666667,,,,,,,,,,,,
23,87.0666666666667,187.05,232.066666666667,287.033333333333,307.05,377.05,382.05,462.083333333333,537.05,617.033333333333,727.066666666667,812.05,917.066666666667,,,,,,,,,,
24,297.05,627.066666666667,762.033333333333,,,,,,,,,,,,,,,,,,,,
25,77.0666666666667,212.066666666667,242.05,307.05,322.033333333333,387.05,427.066666666667,462.083333333333,532.033333333333,632.05,722.033333333333,737.033333333333,792.05,807.033333333333,872.033333333333,,,,,,,,
26,167.066666666667,182.066666666667,287.033333333333,362.05,447.05,552.033333333333,622.066666666667,712.033333333333,792.05,882.066666666667,967.066666666667,,,,,,,,,,,,
27,252.066666666667,347.033333333333,392.066666666667,452.05,547.083333333333,562.05,577.066666666667,622.066666666667,637.05,672.033333333333,742.05,897.05,,,,,,,,,,,
28,42.0833333333333,127.066666666667,167.066666666667,277.033333333333,347.033333333333,357.066666666667,492.083333333333,562.05,627.066666666667,807.033333333333,877.033333333333,957.083333333333,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,
30,2.1,27.0666666666667,117.083333333333,202.066666666667,322.033333333333,342.05,452.05,582.033333333333,642.066666666667,722.033333333333,792.05,937.1,,,,,,,,,,,
31,27.0666666666667,122.066666666667,187.05,202.066666666667,262.05,567.033333333333,617.033333333333,752.05,812.05,957.083333333333,,,,,,,,,,,,,
32,267.033333333333,342.05,447.05,607.066666666667,662.066666666667,747.033333333333,807.033333333333,837.033333333333,,,,,,,,,,,,,,,
33,7.13333333333333,12.05,57.0833333333333,107.083333333333,137.066666666667,177.05,197.05,262.05,282.05,357.066666666667,422.083333333333,492.083333333333,567.033333333333,637.05,682.05,707.016666666667,777.066666666667,857.1,932.066666666667,,,,
34,157.033333333333,257.05,332.033333333333,412.05,487.066666666667,557.05,637.05,717.05,792.05,867.033333333333,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,
37,147.033333333333,232.066666666667,312.016666666667,387.05,462.083333333333,527.016666666667,542.066666666667,617.033333333333,672.033333333333,852.016666666667,932.066666666667,,,,,,,,,,,,
