position,strain
1,FY4
2,FY4
3,FY4
4,FY4
5,FY4
6,contamination_test
7,htb2_mCherry_CRISPR
8,htb2_mCherry_CRISPR
9,htb2_mCherry_CRISPR
10,htb2_mCherry_CRISPR
11,htb2_mCherry_CRISPR
12,contamination_test
13,CEN_PK_Mat_A_Koetter
14,CEN_PK_Mat_A_Koetter
15,CEN_PK_Mat_A_Koetter
16,CEN_PK_Mat_A_Koetter
17,CEN_PK_Mat_A_Koetter
18,contamination_test
