id,birthtime_1,birthtime_2,birthtime_3,birthtime_4,birthtime_5,birthtime_6,birthtime_7,birthtime_8,birthtime_9,birthtime_10,birthtime_11,birthtime_12,birthtime_13,birthtime_14,birthtime_15,birthtime_16,birthtime_17,birthtime_18,birthtime_19,birthtime_20,birthtime_21,birthtime_22,birthtime_23,birthtime_24
60,306.05,1161,1285.98333333333,,,,,,,,,,,,,,,,,,,,,
61,596,916.033333333333,1191,,,,,,,,,,,,,,,,,,,,,
62,176.033333333333,286.05,326.016666666667,331.033333333333,411.033333333333,586.016666666667,951.016666666667,971,1105.98333333333,1151,1276.01666666667,,,,,,,,,,,,,
63,176.033333333333,346.033333333333,716,911,956,1061.01666666667,1116,1126.01666666667,1276.01666666667,,,,,,,,,,,,,,,
64,366.033333333333,946.016666666667,,,,,,,,,,,,,,,,,,,,,,
65,926,,,,,,,,,,,,,,,,,,,,,,,
66,266.05,361.033333333333,381.033333333333,391.033333333333,426.05,466.033333333333,766,1105.98333333333,1251.01666666667,,,,,,,,,,,,,,,
67,36,51,76.0166666666667,106.016666666667,236.066666666667,291.05,521,965.983333333333,1086,1126.01666666667,1191,1276.01666666667,,,,,,,,,,,,
68,711.016666666667,941.016666666667,1080.98333333333,,,,,,,,,,,,,,,,,,,,,
69,216.05,301.033333333333,816,916.033333333333,926,1021.01666666667,1091,1131.01666666667,1155.98333333333,,,,,,,,,,,,,,,
70,1171,1305.98333333333,,,,,,,,,,,,,,,,,,,,,,
71,206.05,236.066666666667,1061.01666666667,1186,1195.98333333333,1211,1236.01666666667,1276.01666666667,,,,,,,,,,,,,,,,
72,161.016666666667,,,,,,,,,,,,,,,,,,,,,,,
73,66,211.066666666667,251.05,301.033333333333,321.033333333333,336.033333333333,506,916.033333333333,946.016666666667,1121,1301.05,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,
75,76.0166666666667,151.016666666667,236.066666666667,391.033333333333,396.033333333333,411.033333333333,481.016666666667,716,760.983333333333,1021.01666666667,1266.01666666667,,,,,,,,,,,,,
76,1186,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,
