position,strain
1,CEN_PK_Mat_A
2,CEN_PK_Mat_A
3,CEN_PK_Mat_A
4,CEN_PK_Mat_A
5,CEN_PK_Mat_A
6,contamination_test
7,FY4
8,FY4
9,FY4
10,FY4
11,FY4
12,contamination_test
13,htb2_mCherry_CRISPR
14,htb2_mCherry_CRISPR
15,htb2_mCherry_CRISPR
16,htb2_mCherry_CRISPR
17,htb2_mCherry_CRISPR
18,contamination_test
