id,birthtime_01,birthtime_02,birthtime_03,birthtime_04,birthtime_05,birthtime_06,birthtime_07,birthtime_08,birthtime_09,birthtime_10,birthtime_11,birthtime_12,birthtime_13,birthtime_14,birthtime_15,birthtime_16,birthtime_17,birthtime_18,birthtime_19,birthtime_20,birthtime_21,birthtime_22,birthtime_23
1,172.516666666667,389.983333333333,404.983333333333,524.983333333333,622.466666666667,694.966666666667,812.466666666667,837.466666666667,857.466666666667,,,,,,,,,,,,,,
2,277.516666666667,382.483333333333,547.483333333333,744.966666666667,,,,,,,,,,,,,,,,,,,
3,102.5,137.516666666667,354.983333333333,459.983333333333,604.983333333333,732.466666666667,784.966666666667,,,,,,,,,,,,,,,,
4,155.016666666667,614.966666666667,822.466666666667,,,,,,,,,,,,,,,,,,,,
5,280.016666666667,404.983333333333,497.483333333333,534.983333333333,,,,,,,,,,,,,,,,,,,
6,162.516666666667,339.983333333333,659.966666666667,787.466666666667,,,,,,,,,,,,,,,,,,,
7,502.483333333333,732.466666666667,862.466666666667,,,,,,,,,,,,,,,,,,,,
8,514.983333333333,649.966666666667,777.466666666667,794.966666666667,,,,,,,,,,,,,,,,,,,
9,417.483333333333,529.983333333333,739.966666666667,847.466666666667,,,,,,,,,,,,,,,,,,,
10,479.983333333333,,,,,,,,,,,,,,,,,,,,,,
11,305.016666666667,392.483333333333,524.983333333333,642.466666666667,729.966666666667,877.483333333333,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,
13,162.516666666667,444.983333333333,607.466666666667,664.966666666667,682.466666666667,854.966666666667,,,,,,,,,,,,,,,,,
14,320,,,,,,,,,,,,,,,,,,,,,,
15,265.016666666667,382.483333333333,477.483333333333,589.983333333333,724.966666666667,832.466666666667,,,,,,,,,,,,,,,,,
16,262.516666666667,394.983333333333,442.483333333333,872.483333333333,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,
18,162.516666666667,295.016666666667,387.483333333333,494.983333333333,634.966666666667,719.966666666667,799.966666666667,,,,,,,,,,,,,,,,
19,324.983333333333,462.483333333333,779.966666666667,,,,,,,,,,,,,,,,,,,,
20,275.016666666667,,,,,,,,,,,,,,,,,,,,,,
21,215.016666666667,414.983333333333,514.983333333333,589.983333333333,627.483333333333,712.466666666667,892.483333333333,,,,,,,,,,,,,,,,
22,300.016666666667,452.483333333333,607.466666666667,,,,,,,,,,,,,,,,,,,,
23,117.5,379.983333333333,687.466666666667,,,,,,,,,,,,,,,,,,,,
24,367.483333333333,469.983333333333,582.483333333333,682.466666666667,737.466666666667,,,,,,,,,,,,,,,,,,
25,557.483333333333,687.466666666667,844.966666666667,,,,,,,,,,,,,,,,,,,,
26,275.016666666667,367.483333333333,487.483333333333,587.483333333333,702.466666666667,,,,,,,,,,,,,,,,,,
27,252.516666666667,339.983333333333,422.483333333333,537.483333333333,684.966666666667,719.966666666667,,,,,,,,,,,,,,,,,
28,90,200.016666666667,302.516666666667,427.483333333333,539.983333333333,649.966666666667,734.966666666667,842.466666666667,,,,,,,,,,,,,,,
