position,strain
1,htb2_mCherry_CRISPR
2,htb2_mCherry_CRISPR
3,htb2_mCherry_CRISPR
4,htb2_mCherry_CRISPR
5,htb2_mCherry_CRISPR
6,contamination_test
7,FY4
8,FY4
9,FY4
10,FY4
11,FY4
12,contamination_test
13,CEN_PK_Mat_A
14,CEN_PK_Mat_A
15,CEN_PK_Mat_A
16,CEN_PK_Mat_A
17,CEN_PK_Mat_A
18,contamination_test
