id,birthtime_1,birthtime_2,birthtime_3,birthtime_4,birthtime_5,birthtime_6,birthtime_7,birthtime_8,birthtime_9,birthtime_10,birthtime_11,birthtime_12,birthtime_13,birthtime_14,birthtime_15,birthtime_16,birthtime_17,birthtime_18,birthtime_19,birthtime_20,birthtime_21,birthtime_22,birthtime_23,birthtime_24,birthtime_25,birthtime_26,birthtime_27
1,241.983333333333,532,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,226.966666666667,582,797.033333333333,,,,,,,,,,,,,,,,,,,,,,,,
4,55.8833333333333,201.966666666667,326.983333333333,471.966666666667,637.016666666667,667.016666666667,887.05,892.033333333333,,,,,,,,,,,,,,,,,,,
5,45.9,151.966666666667,176.966666666667,246.983333333333,421.983333333333,571.983333333333,587,767.016666666667,,,,,,,,,,,,,,,,,,,
6,181.95,361.966666666667,512,562,892.033333333333,912.033333333333,,,,,,,,,,,,,,,,,,,,,
7,5.91666666666667,55.8833333333333,131.966666666667,141.966666666667,381.983333333333,476.983333333333,607.016666666667,667.016666666667,812.033333333333,,,,,,,,,,,,,,,,,,
8,0.883333333333333,151.966666666667,366.983333333333,537.016666666667,557,567,672.016666666667,822.016666666667,852,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,55.8833333333333,151.966666666667,256.983333333333,331.983333333333,341.966666666667,416.966666666667,421.983333333333,451.966666666667,552,677.016666666667,762.033333333333,907.033333333333,,,,,,,,,,,,,,,
11,5.91666666666667,201.966666666667,226.966666666667,366.983333333333,431.983333333333,462,481.983333333333,557,692.016666666667,732.016666666667,762.033333333333,797.033333333333,807.016666666667,847.016666666667,862.033333333333,882.016666666667,907.033333333333,962.033333333333,1161.98333333333,1232.01666666667,1331.96666666667,,,,,,
12,10.9,127,161.983333333333,376.966666666667,702,727.016666666667,787.033333333333,812.033333333333,842.033333333333,852,,,,,,,,,,,,,,,,,
13,30.8833333333333,156.966666666667,216.95,241.983333333333,296.983333333333,466.983333333333,577,797.033333333333,897.016666666667,1161.98333333333,1212.01666666667,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,91.9833333333333,101.983333333333,186.966666666667,266.983333333333,306.966666666667,331.983333333333,426.983333333333,777.016666666667,787.033333333333,867.016666666667,,,,,,,,,,,,,,,,,
