cellID,position,distfromcentre,tp001,tp002,tp003,tp004,tp005,tp006,tp007,tp008,tp009,tp010,tp011,tp012,tp013,tp014,tp015,tp016,tp017,tp018,tp019,tp020,tp021,tp022,tp023,tp024,tp025,tp026,tp027,tp028,tp029,tp030,tp031,tp032,tp033,tp034,tp035,tp036,tp037,tp038,tp039,tp040,tp041,tp042,tp043,tp044,tp045,tp046,tp047,tp048,tp049,tp050,tp051,tp052,tp053,tp054,tp055,tp056,tp057,tp058,tp059,tp060,tp061,tp062,tp063,tp064,tp065,tp066,tp067,tp068,tp069,tp070,tp071,tp072,tp073,tp074,tp075,tp076,tp077,tp078,tp079,tp080,tp081,tp082,tp083,tp084,tp085,tp086,tp087,tp088,tp089,tp090,tp091,tp092,tp093,tp094,tp095,tp096,tp097,tp098,tp099,tp100,tp101,tp102,tp103,tp104,tp105,tp106,tp107,tp108,tp109,tp110,tp111,tp112,tp113,tp114,tp115,tp116,tp117,tp118,tp119,tp120,tp121,tp122,tp123,tp124,tp125,tp126,tp127,tp128,tp129,tp130,tp131,tp132,tp133,tp134,tp135,tp136,tp137,tp138,tp139,tp140,tp141,tp142,tp143,tp144,tp145,tp146,tp147,tp148,tp149,tp150,tp151,tp152,tp153,tp154,tp155,tp156,tp157,tp158,tp159,tp160,tp161,tp162,tp163,tp164,tp165,tp166,tp167,tp168,tp169,tp170,tp171,tp172,tp173,tp174,tp175,tp176,tp177,tp178,tp179,tp180,tp181,tp182,tp183,tp184,tp185,tp186,tp187,tp188,tp189,tp190,tp191,tp192,tp193,tp194,tp195,tp196,tp197,tp198,tp199,tp200,tp201,tp202,tp203,tp204,tp205,tp206,tp207,tp208,tp209,tp210,tp211,tp212,tp213,tp214,tp215,tp216,tp217,tp218,tp219,tp220,tp221,tp222,tp223,tp224,tp225,tp226,tp227,tp228,tp229,tp230,tp231,tp232,tp233,tp234,tp235,tp236,tp237,tp238,tp239,tp240,tp241,tp242,tp243,tp244,tp245,tp246,tp247,tp248,tp249,tp250,tp251,tp252,tp253,tp254,tp255,tp256,tp257,tp258,tp259,tp260,tp261,tp262,tp263,tp264,tp265,tp266,tp267,tp268,tp269,tp270,tp271,tp272,tp273,tp274,tp275,tp276,tp277,tp278,tp279,tp280,tp281,tp282,tp283,tp284,tp285,tp286,tp287,tp288,tp289,tp290,tp291,tp292,tp293,tp294,tp295,tp296,tp297,tp298,tp299,tp300,tp301,tp302,tp303,tp304,tp305,tp306,tp307,tp308,tp309,tp310,tp311,tp312,tp313,tp314,tp315,tp316,tp317,tp318,tp319,tp320,tp321,tp322,tp323,tp324,tp325,tp326,tp327,tp328,tp329,tp330,tp331,tp332,tp333,tp334,tp335,tp336,tp337,tp338,tp339,tp340,tp341,tp342,tp343,tp344,tp345,tp346,tp347,tp348,tp349,tp350,tp351,tp352,tp353,tp354,tp355,tp356,tp357,tp358,tp359,tp360,tp361,tp362,tp363,tp364,tp365,tp366,tp367,tp368,tp369,tp370,tp371,tp372,tp373,tp374,tp375,tp376,tp377,tp378,tp379,tp380,tp381,tp382,tp383,tp384,tp385,tp386,tp387,tp388,tp389,tp390,tp391,tp392,tp393,tp394,tp395,tp396,tp397,tp398,tp399,tp400,tp401,tp402,tp403,tp404,tp405,tp406,tp407,tp408,tp409,tp410,tp411,tp412,tp413,tp414,tp415,tp416,tp417,tp418,tp419,tp420,tp421,tp422,tp423,tp424,tp425,tp426,tp427,tp428,tp429,tp430,tp431,tp432,tp433,tp434,tp435,tp436,tp437,tp438,tp439,tp440,tp441,tp442,tp443,tp444,tp445,tp446,tp447,tp448,tp449,tp450,tp451,tp452,tp453,tp454,tp455,tp456,tp457,tp458,tp459,tp460,tp461,tp462,tp463,tp464,tp465,tp466,tp467,tp468,tp469,tp470,tp471,tp472,tp473,tp474,tp475,tp476,tp477,tp478,tp479,tp480,tp481,tp482,tp483,tp484,tp485,tp486,tp487,tp488,tp489,tp490,tp491,tp492,tp493,tp494,tp495,tp496,tp497,tp498,tp499,tp500,tp501,tp502,tp503,tp504,tp505,tp506,tp507,tp508,tp509,tp510,tp511,tp512,tp513,tp514,tp515,tp516,tp517,tp518,tp519,tp520,tp521,tp522,tp523,tp524,tp525,tp526,tp527,tp528,tp529,tp530,tp531,tp532,tp533,tp534,tp535,tp536,tp537,tp538,tp539,tp540,tp541,tp542,tp543,tp544,tp545,tp546,tp547,tp548,tp549,tp550,tp551,tp552,tp553,tp554,tp555,tp556,tp557,tp558,tp559,tp560,tp561,tp562,tp563,tp564,tp565,tp566,tp567,tp568,tp569,tp570,tp571,tp572,tp573,tp574,tp575,tp576,tp577,tp578,tp579,tp580,tp581,tp582,tp583,tp584,tp585,tp586,tp587,tp588,tp589,tp590,tp591,tp592,tp593,tp594,tp595,tp596,tp597,tp598,tp599,tp600
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33995450988218,2.1709660593191,2.10815767432348,2.13353480177504,2.33222208979332,2.26446953445349,2.22959416131421,1.98639306174976,2.03488727520632,2.00093170832883,1.97822919360296,1.93412098597347,1.98065461463268,1.96577718339012,1.91785116875141,1.96567798988375,1.97072494019161,1.95621711502981,1.96012936598517,2.05673865420019,1.86921541495524,1.8234720100046,1.92278899736022,1.8676954331134,1.84626275615654,1.93553064639693,1.89192707139225,1.90416327386152,1.94759339140663,1.92347906398321,1.8106104359215,1.92368699658144,1.82772683031774,1.87446537914795,1.93376140425704,1.84048257353398,1.83129984148187,1.8984398547676,1.78549343938188,1.84080940085077,1.88361986916282,1.87445313160725,1.88611225758274,1.98237945187262,1.9355815195899,1.99769684543352,1.96919201259228,1.93169423504328,1.9475376077874,1.98514092726799,2.00690776475945,1.98122581179508,2.01468593151186,2.00344061650951,1.9748964182658,2.17580022511008,2.12529148214731,2.01085496679607,2.22457354345853,2.22474512953748,2.11062010892603,2.15032577367228,2.21228236499517,2.31996037144144,2.3570091696002,2.26951698131454,2.31879446291356,2.37206172462016,2.23792905235344,2.28735226658723,2.29428078527822,2.15036933129144,2.08874464754748,2.27453212777678,2.20191181778069,2.29568793062665,2.35884574988461,2.27461842337095,2.29781390133465,2.36151882789584,2.29606103736824,2.36486866658304,2.4519965695486,2.44981541620882,2.27736567001602,2.33707042242856,2.33998649684662,2.373863209355,2.39556659456597,2.40156399469986,2.45251168797415,2.43332175118326,2.53733133175524,2.43463352031138,2.57963911672466,2.55238113746355,2.5035436178229,2.49963196101678,2.61325652682002,2.62145328849676,2.52236807719353,2.55705602087407,2.43405307674321,2.4495032813311,2.52121164667048,2.60810926613525,2.57902588032528,2.61649412823049,2.62015206565453,2.61420654931858,2.54099628647855,2.70109175413711,2.68546931219107,2.72287556784303,2.66552558175877,2.6768381736791,2.58517081981652,2.60546237327078,2.59714554614107,2.71442326034301,2.5705029010352,2.71479049292437,2.72546561165026,2.67990020590375,2.72345907265564,2.68983710600527,2.66896325947623,2.7541628297061,2.72528763116383,2.87990288731397,2.84555797845727,2.90596581442121,2.9886253972828,2.97013806316318,2.97274580244188,2.88420540620304,2.93748452103989,2.97585049903957,2.90958825105595,3.07829240095711,3.02226034746391,2.97434397258769,2.91542956148938,3.01358215982695,3.12254757336618,3.12206399655043,3.14306890965793,3.09573203632021,3.16180256075898,3.11124036472438,3.13499813506217,3.16794571396769,3.10838198493238,3.1230867556816,3.06725343569559,3.09434988904487,3.15444726807558,3.00492429830534,2.99405117670114,2.96010353710052,3.11083805168069,3.00514620656394,2.98421328956011,3.09739727777709,2.91998343707218,3.02048180632521,3.09305405505239,2.99807269447797,2.97021068065527,3.07655704855062,2.96198548389962,3.05434810840834,3.06597589782555,3.07647122687234,3.07661838233564,3.30528160529966,3.27991952116548,3.18676718542282,3.14650353620365,3.09023822878769,2.99877397360696,3.14995280183458,3.0847140525911,3.20589104549317,3.22917391441954,3.20629138499605,3.26260666249445,3.24601895053665,3.14718838864913,3.27630861987133,3.06116651813121,3.17304436471935,3.12178284134643,3.13566112220523,3.17489581114565,3.19483878503216,3.20584600160276,3.12440295325402,3.16909377973878,3.25154090923098,3.13921040442407,3.2393603885221,3.1953243499395,3.21121315626845,3.19379725537923,3.10798374284221,3.19354543899755,3.11709737917916,3.01025175338927,3.089922679113,3.16454982012633,3.05054218024896,3.10083433713624,3.11400253772407,3.0347045559408,2.92626743652602,2.92518129808516,3.02145289006925,2.86807973719612,2.87009614902211,2.98355345384904,2.97387617294859,2.82276343301145,2.84222683706392,2.79295038358111,2.72530936601857,2.80370170133745,2.76492917186757,2.81624469957588,2.8811380193415,2.77581810173941,2.84853594181224,2.89864363663344,2.83960007778318,3.00664296911937,2.83624816346898,2.95734274709489,2.72621529264004,2.95465443337871,2.92287155384379,2.86583876445082,2.85919803797367,2.93940304643199,2.8810651879232,2.95591215476385,3.04213640010146,2.90121196699051,3.08000141554101,3.02460552244934,2.94993512137965,2.96402185214995,3.11024754184262,2.98388378185498,3.0030951833818,3.00419697485246,3.0577562725171,3.04083177253022,3.03529509725629,3.03463629821909,2.97592888552015,2.94534090432893,2.93168557574354,2.87867561421781,2.96365970955823,2.89800988490314,2.76382800253913,2.91472015119389,2.8581309821235,2.74047872671863,2.8287323347025,2.82805156274345,2.93400159290987,2.9788150864242,0,2.91639088380905,2.84984601101519,2.8984204602254,2.98461748478454,2.8792018481501,2.76993265555977,2.95043107791472,2.83110465282671,2.92669771508275,2.95018118502886,2.77574315363845,2.86128126945271,2.86095154299084,2.81691862282766,2.88568348925545,2.77889805210436,2.78034344071679,2.81058549126702,2.68129679557361,2.76196156461995,2.68147335845914,2.86858860732844,2.84018017448321,2.88734811260066,2.92151887375928,2.92937779805823,2.87607371778396,2.89229869438863,2.86716291114205,2.88777970693206,2.91928421200942,2.88162934334207,2.88980719069883,2.937753118586,2.92606433023034,2.86052818889779,2.94948904424687,2.97359969535073,2.96152052350548,3.12093017916653,2.98672792001976,3.08010641140883,3.03951028007513,2.92975459409342,3.06046631377983,3.0032634830148,2.97655539041456,3.0078304561475,3.07996204811787,3.01356837961849,2.99323398053561,2.99138715025147,3.02057474112103,3.11890997940558,3.03578307841415,3.04601820144901,3.07341727740228,3.07507874491394,3.10701757200806,3.12850361585648,3.13728394590546,3.10665615025556,3.09482184490272,3.19702017321724,3.20617503940342,3.16060767107989,3.31360604925573,3.27920045719147,3.27526140206855,3.33002422305111,3.21454420633912,3.2498385553492,3.28767438487186,3.24307572822149,3.2788389710073,3.12119258278033,3.21271314888092,3.10251589762639,3.06460170187528,3.04066510470124,3.14585892072619,3.08888195305329,3.01549362822137,2.97012751979659,2.92795622815709,2.99224750678951,3.06741658452315,3.00604244690217,2.94693399286233,2.97734874396357,2.95953602212567,2.92090075967442,2.90296694047489,2.86806264779416,2.87357005471351,2.89278323296315,2.88208697881553,2.86178733006178,2.92983224666563,2.85716897876438,2.97720687014489,2.81535886977499,2.93279736514388,2.88076523513704,2.84299470682398,2.82544291633165,2.92288220455003,2.99989738655214,3.07442305642929,2.93151163451607,2.97663047279898,2.94701552332585,2.93199787211819,2.95331051987402,3.00124305431132,3.10127632584248,2.93532187152449,2.90271770006036,2.93411530832402,2.88620414078837,2.92412789373505,2.95179077506667,2.95988734295894,3.03965024004597,3.00683840373232,2.89939380996246,2.95008157939852,2.97244600510374,3.01507780126746,3.04243876404226,3.11745407613611,2.91231168460311,3.04380189234314,2.94985333472859,2.9704693807698,2.98617327033066,2.9746472442935,2.97995577630327,3.05124334988508,3.08486185804499,3.04167238065035,3.08995749090072,3.01117122000295,3.0266273448484,3.0190726644,2.97729833770136,2.96032218215541,2.94677685793401,2.79469642837436,2.92937137312681,2.98451873750061,2.90119326382374,2.90628677927163,2.86652802548978,2.83476215310578,2.87863193177052,2.76442010604311,2.83042808205951,2.78511997666422,2.81321547695219,2.78426849344412,2.79405917882866,2.76783039157483,2.64716291696095,2.59733613461929,2.58556567961082,2.61113483450325,2.55146067838432,2.58722225933736,2.62351819834349,2.74331021507809,2.66698006801867,2.69124122104808,2.70247036264716,2.72052772729547,2.82626394991176,2.80652666748302,2.84911312339097,2.84285987359177,2.86092701016343,2.89034990468,2.855202485553,2.93414464158141,2.93051030299115,2.9361762616592,2.93527167791041,2.9226630527735,3.01236227283516,2.93415297268297,3.02529692984862,2.98343532402142,3.0070427591098,3.02956582706501,3.01193957574489,3.04922004727161,3.11208692374534,3.04014645964424,2.867561075554,3.01824807557131,2.96786498747517,3.03013566849096,2.90905899020692,3.05297858610343,2.95326607029604,2.94432134386098,3.02154039633359,2.98857088994058,2.93045133342669,2.97927313068047,2.88907689458394,2.89964809093365,2.91694727561902,2.92841309317134,2.93675928678426,2.88094329662856,2.83703326582322,3.02690778867135,2.8859639507217,2.75158544116385,2.73524242305963,2.53615331430401,2.62470973309043,2.46812222376694,2.45849930177398,2.48045769301655,2.48242196927265,2.41630330094161,2.41434562333246,2.54115760293358,2.46710503290352,2.45457482882677,2.44268041593585,2.49262439077759,2.35329044431966,2.42141952772193,2.44922121088976,2.35134746571388,2.43675343165248,2.49768384933272,2.41391444898361,2.38007922607616,2.42315054416827,2.42133329704126,2.50580679152933,2.33924255655544,2.37065049821369,2.36237459874204,2.3004488023361,2.37384443096384,2.38150882053694,2.44295864299117,2.42497779334246,2.43581817845074,2.41514098113556,2.39450878956081,2.43539530014568,2.45305998429804,2.43307839342524,2.41042518174791,2.46958869026183,2.45741713633965,2.38156729343762,2.42392608600633,2.50945733197196,2.46462389428601,2.40279287489313,2.44010160708577,2.42121647884163,2.44187757673588,2.48719306541606,2.48623980611594,2.46510432773712,2.5212757679149,2.61439112875772,2.50014171490259,2.55403277731475,2.6068870565426,2.53936818660596,2.52604807092156,2.57583217366412,2.46508774049455,2.53957836049665,2.49120461138359,2.45674355829638,2.48961238107398,2.54149246178414,2.47286100664846,2.46662249923403,2.51623714027038,2.42662882101167,2.46589631410054,2.4967225032015,2.20688702764357,2.25028228298218,2.21499739587918,2.19014280353825,2.17013134812456,2.20134253760332,2.12453943350616,2.22828114310304,2.18153331422533,2.14247120380278,2.12328703378574
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79945487479139,1.63529551745217,0,1.59248149032283,1.49679170836189,1.80401163109562,1.48697747541195,1.99368997168789,1.91100780412012,2.2052660493735,1.74373107962657,1.94114855371341,1.97936311518813,2.017274526007,1.84636249121817,1.61436675123071,1.57461069382055,2.12577648894874,1.7814747788798,1.8052103257225,2.04449706198392,1.97152109708242,1.74182346914732,1.8688055695002,1.80105179522762,1.52982438744706,1.74521113229788,1.78433890582877,1.87252924492237,1.71520376410749,1.64659405697955,1.62005057996853,1.62175948234413,1.63171892363811,1.48387222805118,1.79404688409762,1.71817755827952,1.70701356517964,1.85444131923754,1.66816254134631,1.44967761469274,1.78295168330889,1.80262882288462,2.0617350896245,1.79745073050856,2.1385820934032,2.04896477786667,1.92523508828462,1.62491075525478,1.92393752109121,1.9183913926615,1.98012159421278,1.83927285599384,1.6887369300552,2.11171236190199,1.95188548500443,1.89236718974797,2.16181780038076,2.21097602006802,1.67174704451269,2.00544379174873,2.01933667823827,2.31941816182017,2.12583657035356,1.895392810242,1.96722117025391,2.29570383102881,2.00256601593073,2.35937842009807,2.3208941424372,1.98653856252282,2.00657459021964,1.83630150905253,1.86778292058745,1.72049868912295,1.91433363633888,1.94788970744114,2.09994569617706,2.16595378242797,2.34269288192065,2.22373628550519,2.26616901711244,2.08869926518639,2.13802741425269,2.08799465812,2.17988502446755,2.36412288302067,2.17413448949277,1.66067043063972,1.8343406031129,1.92140381692975,1.68275772482903,2.06841804068887,1.95096219283003,2.07610005911425,1.78496989682647,1.91134310029241,2.03460743413939,1.9314591080664,2.16720123892208,1.9720181490455,2.19048562693599,1.94894593628518,2.09837428675946,2.07679925040078,2.35564923873101,2.16403786658926,2.10354916549463,2.26361193418358,2.29195597277533,2.3877132578234,2.14669016405555,2.1656438071083,2.19247698324447,2.37859549580858,2.47482959773175,2.20867498494692,2.01697441450357,2.33572725589946,2.37769365235671,2.49071024206108,2.23674253690097,2.35292883140172,2.24498616605097,1.8240715705184
3,1,0,2.13066185320978,1.92579259157855,1.84875095755088,1.684050648634,1.81861861766191,1.73347401788189,1.76650741697069,1.80200337846663,1.70583240333926,1.81477365014175,1.75404299051451,1.77966522305349,1.7592269275825,1.78990374180403,1.7441697831333,1.69900132278585,1.75040139654263,1.82697709025433,1.67885891037692,1.80498006601092,1.74128143671805,1.70556048543928,1.67303046328424,1.73531218113282,1.67671969841179,1.6481314096862,1.61553726739976,1.57304393150678,1.69235596925737,1.66353279155413,1.62216503151741,1.47156690074341,1.48271142612123,1.58143906295549,1.44333779976849,1.5392161179255,1.61141387144838,1.63060805620729,1.58466965015767,1.57463642223437,1.65488779676311,1.56019347214884,1.63293052417898,1.59574492051946,1.63096205242174,1.69381135711117,1.60667155458473,1.61988136220282,1.70984572579078,1.67249088726059,1.69129034542472,1.78422379442275,1.72306538694819,1.70650542704154,1.71069992197927,1.68040472529569,1.74241967250414,1.8399421212517,1.72983685270648,1.76795905515402,1.80215795733467,1.77674285714971,1.83667325506324,1.7884603298984,1.71476743887114,1.81566751812831,1.89568285002955,1.66677154079236,1.74367549486173,1.79365734757443,1.89033603726857,1.76731490140847,1.73790680524636,1.84077012845143,1.7364546425884,1.69556204277888,1.66304765488337,1.72657290155254,1.65691151707377,1.72730792610663,1.75728560398076,1.71508737268848,1.76812502414033,1.75701928087132,1.85202937751681,1.85741800345042,1.92740520253769,2.01486603609096,1.95778702582938,1.94680587594256,2.02698486862038,1.96186008673899,2.06423274569468,2.02134737324967,2.06594621448874,2.02989159453067,2.13572396076305,2.08796209701435,2.09692476829963,2.152690261492,2.03462304872001,2.05891156798812,2.12451364466563,2.13775933170466,2.15615412619461,2.13819920207018,2.04603822447449,2.13515470712175,2.18752625641803,2.02024364664614,2.1713176310715,2.19000247319842,2.13588289583888,2.31309815289862,2.19496698850742,2.22936302236575,2.19699287139504,2.16436356226128,2.16799200123541,2.18855326434944,2.21219707986873,2.29425158410124,2.21861917528423,2.26285743716861,2.19621620255366,2.24926249034502,2.30727803432385,2.33483672491466,2.43671994349439,2.41686689022907,2.44303009006433,2.39844672221181,2.37863138886728,2.40668005273028,2.37763588997285,2.43166518214131,2.35063304775949,2.30845200580987,2.47082614125872,2.4581478367041,2.27655107139283,2.41609833565679,2.39080331165974,2.39193009272294,2.41000469742319,2.38691538555937,2.3108719175679,2.383595427766,2.3491925284745,2.34373484464883,2.32304580803373,2.46323060919955,2.5225526893925,2.47561737510222,2.54760823750477,2.47119478077729,2.58735304756592,2.55864475831093,2.6126701694779,2.60127991371468,2.50727033473018,2.65600077407693,2.61426657523764,2.71808315977888,2.61122073306642,2.68544542593967,2.65710752577576,2.76635193002846,2.78769659446285,2.79468028724175,2.75641156821853,2.86147044418063,2.81214958572324,2.93817455282644,2.97371655377384,2.88652985905167,2.89209045988213,2.91950432920019,2.92657428664063,2.83052029670589,2.81509723886927,2.84751140642885,2.93565630131834,2.91291272048885,2.90159989836989,2.8826214771569,2.85873724227309,2.89946766614848,2.9799263011697,2.83282484249058,2.8814481521949,2.83699973329439,3.00037540977251,2.86254963516687,2.96956599490179,2.95997291778035,2.92877406380712,2.75396742334942,2.61999926791801,2.55949099968614,2.63382460387797,2.6358417642699,2.63367552147552,2.65674045866505,2.63997726397787,2.51329960631907,2.62988989321706,2.60732266209667,2.54814057375679,2.62438582573645,2.68066895411905,2.68942733668251,2.70743478163687,2.59105838025107,2.7848069594008,2.69168652806299,2.84114464926827,2.75035553182267,2.6507500219173,2.74063774845562,2.76362268703158,2.80199529911758,2.9006067819813,2.82218414282891,2.96933260213524,2.97970255314445,3.02413255312767,2.98533053185244,2.93178703636571,2.91841604444951,3.03160924501528,2.94117002800768,3.01096961752323,3.12753034237441,2.97501050029734,3.03825181748434,3.14833407000207,3.20562334128131,3.05543283889143,3.20167172097427,3.11445753342768,3.15782831540833,3.09991849664485,3.10804313356051,3.12027070366192,3.08124840025938,3.01778953991152,3.07586911862187,3.09715012068362,3.06741554197742,3.0619540198737,2.98926832445899,3.0788102813939,2.9280611222366,3.00605468042748,3.08331614564123,2.93398297299534,3.09344097148202,2.95599200362644,3.00547527491242,2.86763225689571,2.92744686352053,2.82558743187302,2.86056226283709,2.83398142139924,2.7060486817062,2.80488851225074,2.75800885822145,2.85480708405879,2.84322182669673,2.86354169316167,2.84812900629714,2.94169638421924,2.87121716908828,2.94198032643924,3.00284447803025,2.91320268264621,2.8686557237973,2.93398138680491,2.98897813605494,2.89435343082688,2.97992058524341,2.97825975770007,2.91780644015241,2.98287967793551,3.13943303898108,3.084834495335,3.19719618241661,3.0595417850341,3.12658366130565,3.13717880698805,3.02463530201912,3.13733053861532,3.08655835703274,3.113665777375,3.1666150884176,3.10277970532274,3.11254619511249,3.12915350465324,3.18667313341744,3.21088027931932,3.17413502802551,3.21800197168235,3.26661004831554,3.09470432995524,3.02333792367109,3.10680227960705,3.10389767674731,3.10831899884579,3.08517454317708,3.03357616979901,3.05331692687558,2.94040467629374,3.02179896452934,2.99945323049262,3.03272199732299,2.92107669899792,2.97290976677464,2.97164065298646,2.86728463002455,2.82386657515718,2.85597692579203,2.74921073694252,2.8530691474852,2.8433995771303,3.33651598475758,3.35537765748295,3.24274646080544,3.34982856633571,3.46415122244334,3.22634048194302,3.1938907103942,3.22717546693592,3.1733618560425,3.19111839462416,3.15260648712837,3.23207828758347,3.29152119596363,3.3114262182063,3.30578239025212,3.36807874287023,3.3675949559242,3.37492666033706,3.31054933460991,3.33574943435447,3.35198264150285,3.33535907191076,3.3682552829236,3.11569422596541,3.13772093052906,3.11798762556977,3.07534225035627,2.98063061101994,3.19559791987644,3.10888128593667,3.01928879979721,3.07241443871423,3.15225470192316,3.02787809067608,2.95459778058628,3.02944502828097,3.08609105104061,3.11432193063369,3.07326099743142,2.97233916140093,3.10527107368868,3.08788337210557,3.04426241545286,3.12039919079878,3.15092655871245,3.09560573201037,3.02487147922416,3.02004874429422,3.11347130737181,3.01915701647874,3.12834921980961,3.10910991002031,3.20900300064571,3.15328071147759,3.28185510406269,3.26888595001685,3.28409953706983,3.20474441386681,3.2016669596473,3.39057105410051,3.32969891295475,3.29589743625522,3.40422347122742,3.33222831115671,3.41315345217988,3.37778161515642,3.27228713115325,3.30571868773845,3.3126058747444,3.29380084202376,3.32152043881132,3.29560534979934,3.28013532672135,3.29789733728013,3.30289693502336,3.31540244908102,3.25900531426547,3.27605679746278,3.41086691455325,3.36563529924047,3.31500302478751,3.19629627965305,3.24894416592876,3.11378705539612,3.07936190525374,3.09561435855612,3.1113172342612,3.13042946883487,3.03721818315181,3.03794444342766,3.07684962180544,3.11628461725418,3.16691844369614,3.10916408949773,3.06754810327148,3.06967404859474,3.01417040602395,3.01928846361191,3.09981715956153,3.12343133108976,3.16160658351827,3.12228785311647,3.05416488659138,2.95750546826998,3.00209255503605,3.01035583939881,3.04961543315627,2.94839521786947,3.05519396744641,3.04603409653705,2.9660557201038,3.02838138193419,2.88254423694997,3.03593562753316,2.94877575177034,2.86564483639899,2.86031970820371,2.93038922998571,2.92022969449275,2.88359960913412,3.07565050090006,3.12148283464298,3.03756150745068,3.00130462316479,3.13113079662462,3.0017070155409,2.87971931917568,3.02861864085821,2.90447284726824,2.90511854641195,2.79646226201426,2.91551965686265,2.90429402578383,2.86312691187903,2.92569741786571,2.93393208523152,2.82518365230889,2.8520313241935,2.87624472878757,2.71553973824096,2.75615846286874,2.76934007647492,2.87192065656286,2.88226429230416,2.79354896231642,2.8295126849665,2.8263610334669,2.79393595340815,2.80512800162367,2.69172008012172,2.78011850842111,2.78014025624191,2.66137092636016,2.67610218580876,2.76995147429844,2.73359249987494,2.72660117874947,2.6737890006126,2.7531661078753,2.69442695330697,2.70961599047249,2.66810770864064,2.67363899045564,2.64077464030029,2.74953486762043,2.74731822606756,2.70056066305862,2.7297473334703,2.60305803883671,2.6162764877651,2.67612288661227,2.65204040450241,2.65349948437552,2.67520135671599,2.64667044905691,2.61941548329769,2.76655829360623,2.67722954744878,2.66648044749878,2.60717109583714,2.58137070768818,2.60421887409933,2.5420619469064,2.58837084967924,2.51806383496182,2.56694577406738,2.55363601038048,2.59169806470006,2.53498131991088,2.54845835669604,2.58536375001935,2.58552082983689,2.60559054149507,2.52027213519728,2.62819225855609,2.5273719218877,2.47617909753386,2.54257925880694,2.43485896348021,2.49979161295411,2.53860426242928,2.47226231559753,2.49133913439881,2.42354698634246,2.47692165942011,2.54066965155054,2.44535042453082,2.47350022190932,2.49283596982819,2.4866868003395,2.38344586368439,2.40514781599778,2.44363781463011,2.38847334269717,2.41729273502688,2.3862065611419,2.37599390153659,2.34565344179716,0.908337051105326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
